curso;unidade
AAA;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ADMINISTRAÇÃO;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
ADMINISTRAÇÃO;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
ADMINISTRAÇÃO PÚBLICA;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
AGENTE DE HIGIENE E BELEZA ANIMAL - EJA EPT - LAGOA DE PEDRAS;ESCOLA AGRÍCOLA DE JUNDIAÍ
AGENTE DE HIGIENE E BELEZA ANIMAL - EJA EPT - PARNAMIRIM;ESCOLA AGRÍCOLA DE JUNDIAÍ
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;ESCOLA AGRÍCOLA DE JUNDIAÍ
ANÁLISES CLÍNICAS E MEDICAMENTOS;DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS
ANDRÉ DE MATTOS MARQUES;DEPARTAMENTO DE ECONOMIA - DEPEC
APERFEIÇOAMENTO EM AJUSTE CONSCIENCIAL À SOCIEDADE IDEAL;DEPARTAMENTO DE MEDICINA CLÍNICA
APERFEIÇOAMENTO EM CURRÍCULO E PRÁTICAS NA EDUCAÇÃO INFANTIL;NÚCLEO DE EDUCAÇÃO DA INFÂNCIA
APERFEIÇOAMENTO EM DEFICIÊNCIA VISUAL E OS RECURSOS DE ACESSIBILIDADE COMUNICACIONAL;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
APERFEIÇOAMENTO EM DIDÁTICA E MÉTODO MULTISSENSORIAL NO ENSINO A ESTUDANTES COM DEFICIÊNCIA VISUAL;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
APERFEIÇOAMENTO EM EDUCAÇÃO ESPECIAL-INCLUSIVA NA EDUCAÇÃO BÁSICA;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
APERFEIÇOAMENTO EM EDUCAÇÃO, POBREZA E DESIGUALDADE SOCIAL;DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO
APERFEIÇOAMENTO EM ELETROENCEFALOGRAFIA BÁSICA  E CLÍNICA PARA RESIDÊNCIA MÉDICA;DEPARTAMENTO DE PEDIATRIA
APERFEIÇOAMENTO EM ENDOCRINOLOGIA PEDIÁTRICA;DEPARTAMENTO DE PEDIATRIA
APERFEIÇOAMENTO EM ENSINO DE PORTUGUÊS PARA ESTRANGEIROS, IMIGRANTES E REFUGIADOS;DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS
APERFEIÇOAMENTO EM FORMAÇÃO PEDAGÓGICA TUTORES E PRECEPTORES DA RESIDÊNCIA EM SAÚDE;DEPARTAMENTO DE TOCO-GINECOLOGIA
APERFEIÇOAMENTO EM GESTÃO DE POLÍTICA DE DST AIDS HEPATITES VIRAIS E TUBERCULOSE;NÚCLEO DE ESTUDOS EM SAÚDE COLETIVA
APERFEIÇOAMENTO EM GESTÃO DO TRABALHO E DA EDUCAÇÃO NA SAÚDE;DEPARTAMENTO DE SAÚDE COLETIVA
APERFEIÇOAMENTO EM LINGUAGEM TEATRAL: TEATRO DE ANIMAÇÃO NA EDUCAÇÃO DA INFÂNCIA;NÚCLEO DE EDUCAÇÃO DA INFÂNCIA
APERFEIÇOAMENTO EM LITERATURA INFANTIL NEGRA NA ESCOLA;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
APERFEIÇOAMENTO EM MENTORIA DE DIRETORES ESCOLARES;DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO
APERFEIÇOAMENTO EM PLANEJAMENTO, CRIAÇÃO E MANUTENÇÃO DE REPOSITÓRIOS DIGITAIS;DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO
APERFEIÇOAMENTO EM PRÓTESE SOBRE IMPLANTES;DEPARTAMENTO DE ODONTOLOGIA
APERFEIÇOAMENTO EM REABILITAÇÃO ORAL AVANÇADA EM PRÓTESE SOBRE IMPLANTE;DEPARTAMENTO DE ODONTOLOGIA
