"id_projeto_pesquisa";"codigo_projeto";"titulo";"palavras_chave";"id_projeto";"ano";"data_inicio";"data_fim";"situacao";"tipo_projeto";"categoria_projeto";"id_unidade";"unidade";"id_coordenador";"coordenador";"edital";"id_grupo_pesquisa";"grupo_pesquisa";"linha_pesquisa";"area_conhecimento_cnpq";"objetivos_desenvolvimento_sustentavel"
"134094250";"PIA16104-2019";"Cascading consequences of hunting and fishing for ecosystem services in Amazonian forest ";"Pesca; Rio Juruá; conhecimento ecológico local; manejo";"91822552";"2019";"2019/03/01 00:00:00.000";"2023/03/01 00:00:00.000";"EM EXECUÇÃO";"EXTERNO";"Pesquisa Científica";"8366";"DEPARTAMENTO DE ECOLOGIA";"";"";"";"";"";"Ecologia Humana";"Ecologia de Ecossistemas";""
"134475410";"PIA16120-2019";"SAÚDE DO HIDROCORAL Millepora alcicornis: EFEITOS COMBINADOS DA COMPETIÇÃO E DO AUMENTO DA TEMPERATURA";"branqueamento de corais, mudanças globais, ambientes recifais";"91823495";"2019";"2019/02/18 00:00:00.000";"2021/02/19 00:00:00.000";"EM EXECUÇÃO";"EXTERNO";"Pesquisa Científica";"180";"DEPARTAMENTO DE OCEANOGRAFIA E LIMNOLOGIA";"";"";"";"";"";"Ecologia Marinha";"Ecologia de Ecossistemas";""
"133516110";"PIB16080-2019";"Desenvolvimento de aditivos químicos e sistemas microemulsinados para aplicação em processos de cimentação de poços petrolíferos";"Cimentação, poços de petróleo, aditivos, microemulsão";"91822266";"2019";"2019/02/25 00:00:00.000";"2021/02/25 00:00:00.000";"EM EXECUÇÃO";"EXTERNO";"Inovação";"6025";"INSTITUTO DE QUÍMICA";"";"";"";"";"";"Gênero, ciência e tecnologia";"Polímeros e Colóides";""
"133419744";"PIC16062-2019";"Ethos e pathos na formação da sensibilidade intercultural do aprendente de PLE: a imagem do Brasil na adaptação do estrangeiro";"Ethos; Pathos; PLE; adaptação; estrangeiro";"91822191";"2019";"2019/02/04 00:00:00.000";"2021/02/04 00:00:00.000";"FINALIZADO";"EXTERNO";"Pesquisa Científica";"5206";"DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";"Ensino-aprendizagem de Línguas Estrangeiras";"Lingüística Aplicada";"Saúde e Bem-Estar"
"134916342";"PID16133-2019";"INFLUÊNCIA DA NEUROMODULAÇÃO NA DINÂMICA UTERINA E BATIMENTOS CARDIO FETAIS DURANTE A FASE ATIVA DO TRABALHO DE PARTO";"Neuromodulação, trabalho de parto, Dinâmica uterina";"91823799";"2019";"2019/06/01 00:00:00.000";"2020/05/31 00:00:00.000";"EM EXECUÇÃO";"INTERNO";"Pesquisa Científica";"201";"DEPARTAMENTO DE FISIOTERAPIA";"";"";"(2019) [MEJC/UFRN/Ebserh] EDITAL N° 01/2019 - EDITAL DE BOLSAS DE PESQUISA DA MEJC/UFRN/Ebserh";"85541463";"GRUPO DE PESQUISA EM SAÚDE FEMININA";"Grupo de Estudo em Saúde da Mulher";"Educação Física";""
"135071274";"PID16149-2019";"Repercussões clínicas da prematuridade e do muito baixo peso ao nascer nos primeiros 12 meses de idade corrigida.";"recém-nascido prematuro, recém-nascido de muito baixo peso, morbimortalidade, transtornos do neurodesenvolvimento";"91823987";"2019";"2019/06/01 00:00:00.000";"2020/07/31 00:00:00.000";"FINALIZADO";"INTERNO";"Pesquisa Científica";"193";"DEPARTAMENTO DE PEDIATRIA";"";"";"(2019) [MEJC/UFRN/Ebserh] EDITAL N° 01/2019 - EDITAL DE BOLSAS DE PESQUISA DA MEJC/UFRN/Ebserh";"";"";"saúde da criança;neonatologia;reanimação neonatal;seguimento do muito baixo peso";"Saúde Materno-Infantil";""
"132017493";"PIG16005-2019";"Desenvolvimento e Caracterização de Sistemas Nano e Microemulsionados para Aplicação como Método de Recuperação Avançada em Campos Maduros de Óleo Pesado da Bacia Potiguar";"Óleos Pesados; Recuperação Avançada; Sistemas Microemulsionados";"91820918";"2019";"2019/01/01 00:00:00.000";"2021/12/31 00:00:00.000";"FINALIZADO";"EXTERNO";"Pesquisa Científica";"5075";"DEPARTAMENTO DE ENGENHARIA DE PETROLEO";"";"";"";"132022391";"Energias Renováveis aplicadas à Indústria do Petróleo";"Recuperação Avançada de Petróleo";"Petróleo e Petroquímica";""
"133096449";"PIG16043-2019";"Projeto de Infraestrutura para Fomento a Estudos em Acidificação Matricial em Cenários Reais de Operação";"dano à formação; acidificação de matriz; controle de poço; pré-sal";"91821706";"2019";"2019/03/01 00:00:00.000";"2020/02/29 00:00:00.000";"FINALIZADO";"EXTERNO";"Desenvolvimento Científico e Tecnológico";"5075";"DEPARTAMENTO DE ENGENHARIA DE PETROLEO";"";"";"";"";"";"Engenharia de Petróleo";"Petróleo e Petroquímica";""
"134834113";"PIG16130-2019";"Análise da Estabilidade de Sistemas Lineares Utilizando Técnicas de Geometria Algébrica ";"Estabilidae de Sistemas, Geometria Algébrica, BAses de Grobner, Resultantes";"91823743";"2019";"2019/06/01 00:00:00.000";"2020/05/31 00:00:00.000";"EM EXECUÇÃO";"INTERNO";"Pesquisa Científica";"56";"DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO";"";"";"(2019) [MEJC/UFRN/Ebserh] EDITAL N° 01/2019 - EDITAL DE BOLSAS DE PESQUISA DA MEJC/UFRN/Ebserh";"";"";"Controle e Automação";"Automação Eletrônica de Processos Elétricos e Industriais";""
"134713793";"PIG16131-2019";"Proposta de Um Sistema Didático para Controle de Nível de Água de Três Reservatórios Interconectados";"Controle de Nível, Estimação de Estados, Sistema de Supervisão";"91823663";"2019";"2019/06/01 00:00:00.000";"2020/05/31 00:00:00.000";"EM EXECUÇÃO";"INTERNO";"Pesquisa Científica";"56";"DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO";"";"";"(2019) [MEJC/UFRN/Ebserh] EDITAL N° 01/2019 - EDITAL DE BOLSAS DE PESQUISA DA MEJC/UFRN/Ebserh";"";"";"Controle e Automação";"Controle de Processos Eletrônicos, Retroalimentação";""
"135002828";"PIJ16135-2019";"LOGOCOSMICS: LOgica, joGOs e Cálculos de prOcessos para Sistemas ModaIs  ConcorrenteS";"Lógica, concorrência, métodos formais";"91823888";"2019";"2019/03/01 00:00:00.000";"2022/09/01 00:00:00.000";"RENOVADO";"EXTERNO";"Pesquisa Científica";"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"";"";"";"";"";"Lógica e Teoria de Concorrência";"Lógicas e Semântica de Programas";"Saúde e Bem-Estar"
"135002896";"PIJ16136-2019";"Sistemas concorrentes: semântica, provas e modelos declarativos";"Lógica, concorrência";"91823890";"2019";"2019/01/01 00:00:00.000";"2021/12/31 00:00:00.000";"EM EXECUÇÃO";"EXTERNO";"Pesquisa Científica";"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"";"";"";"";"";"Lógica e Sistemas Concorrentes ";"Lógicas e Semântica de Programas";""
"133675085";"PIO16082-2019";"Causalidade no mundo quântico: controlando os efeitos quânticos em problemas de inferência causal";"Informação quântica, causalidade, emaranhamento";"91822303";"2019";"2019/01/02 00:00:00.000";"2021/05/31 00:00:00.000";"FINALIZADO";"EXTERNO";"Pesquisa Científica";"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"";"";"";"";"";"Teoria de Cordas, Informação Quântica, Astrofísica e Física da Matéria Condensada";"Física Clássica e Física Quântica; Mecânica e Campos";""
