"id_curso";"nome";"id_coordenador";"coordenador";"situacao_curso";"nivel_ensino";"grau_academico";"modalidade_educacao";"area_conhecimento";"tipo_oferta";"turno";"tipo_ciclo_formacao";"municipio";"campus";"id_unidade_responsavel";"unidade_responsavel";"website";"data_funcionamento";"codigo_inep";"dou";"portaria_reconhecimento";"convenio_academico"
"150845958";"AAA";"";"";"";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"31011";"FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS";"";"";"";"";"";""
"2000002";"ADMINISTRAÇÃO";"24344";"CARLOS ALBERTO FREIRE MEDEIROS";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"Matutino e Noturno";"Generalista";"NATAL";"Campus Central";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"http://sol.ccsa.ufrn.br/ccsa/areas/adm/administracao";"1971/09/16 00:00:00.000";"12311";"2017/04/04 00:00:00.000";"Portaria nº 272/2017 - MEC";""
"2000004";"ADMINISTRAÇÃO";"5754352";"KELSIANE DE MEDEIROS LIMA";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"Vespertino e Noturno";"Generalista";"CURRAIS NOVOS";"Campus Currais Novos";"31011";"FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS";"";"1978/09/15 00:00:00.000";"12355";"2017/04/04 00:00:00.000";"Portaria nº 272/2017 - MEC";""
"15315770";"ADMINISTRAÇÃO PÚBLICA";"5753650";"DANIEL DE ARAUJO MARTINS";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"A Distância";"Ciências Sociais Aplicadas";"Regular";"";"Generalista";"NATAL";"";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"";"";"1151028";"2014/04/11 00:00:00.000";"Portaria nº 226/2014 - DIREG/MEC";""
"149654895";"ADMINISTRAÇÃO PÚBLICA";"5753060";"HIRONOBU SANO";"ATIVO";"GRADUAÇÃO";"BACHARELADO";"Presencial";"Ciências Sociais Aplicadas";"Regular";"";"Generalista";"NATAL";"";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"";"";"1563343";"";"";""
"174826463";"AGENTE DE HIGIENE E BELEZA ANIMAL - EJA EPT - LAGOA DE PEDRAS";"";"";"";"TÉCNICO";"";"Semi-Presencial";"";"";"";"";"MACAÍBA";"";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"";"";"";"";"";""
"183433591";"AGENTE DE HIGIENE E BELEZA ANIMAL - EJA EPT - PARNAMIRIM";"";"";"";"TÉCNICO";"";"Semi-Presencial";"";"";"";"";"MACAÍBA";"";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"";"";"";"";"";""
"94598200";"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS";"5763608";"ANTONINO ALVES FEITOSA NETO";"ATIVO";"GRADUAÇÃO";"TECNOLÓGICO";"Presencial";"Outra";"Anual";"";"Generalista";"MACAÍBA";"";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"";"";"1188193";"2018/12/28 00:00:00.000";"Portaria MEC/SERES Nº 922/2018";""
"123041053";"ANÁLISES CLÍNICAS E MEDICAMENTOS";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"";"";"";"";"";""
"5049081";"ANDRÉ DE MATTOS MARQUES";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"160";"DEPARTAMENTO DE ECONOMIA - DEPEC";"";"";"";"";"";""
