id_curso;curso;id_unidade;unidade
150845958;AAA;31011;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
2000002;ADMINISTRAÇÃO;443;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
2000004;ADMINISTRAÇÃO;31011;FACULDADE DE ENGENHARIA, LETRAS E CIÊNCIAS SOCIAIS DO SERIDÓ - FELCS
15315770;ADMINISTRAÇÃO PÚBLICA;443;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
149654895;ADMINISTRAÇÃO PÚBLICA;443;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
174826463;AGENTE DE HIGIENE E BELEZA ANIMAL - EJA EPT - LAGOA DE PEDRAS;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
183433591;AGENTE DE HIGIENE E BELEZA ANIMAL - EJA EPT - PARNAMIRIM;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
94598200;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
123041053;ANÁLISES CLÍNICAS E MEDICAMENTOS;117;DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS
5049081;ANDRÉ DE MATTOS MARQUES;160;DEPARTAMENTO DE ECONOMIA - DEPEC
169660378;APERFEIÇOAMENTO EM AJUSTE CONSCIENCIAL À SOCIEDADE IDEAL;191;DEPARTAMENTO DE MEDICINA CLÍNICA
123907274;APERFEIÇOAMENTO EM CURRÍCULO E PRÁTICAS NA EDUCAÇÃO INFANTIL;1452;NÚCLEO DE EDUCAÇÃO DA INFÂNCIA
168491973;APERFEIÇOAMENTO EM DEFICIÊNCIA VISUAL E OS RECURSOS DE ACESSIBILIDADE COMUNICACIONAL;30546;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
168489693;APERFEIÇOAMENTO EM DIDÁTICA E MÉTODO MULTISSENSORIAL NO ENSINO A ESTUDANTES COM DEFICIÊNCIA VISUAL;30546;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
168441602;APERFEIÇOAMENTO EM EDUCAÇÃO ESPECIAL-INCLUSIVA NA EDUCAÇÃO BÁSICA;30546;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
130818692;APERFEIÇOAMENTO EM EDUCAÇÃO, POBREZA E DESIGUALDADE SOCIAL;5967;DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO
98400995;APERFEIÇOAMENTO EM ELETROENCEFALOGRAFIA BÁSICA  E CLÍNICA PARA RESIDÊNCIA MÉDICA;193;DEPARTAMENTO DE PEDIATRIA
99582905;APERFEIÇOAMENTO EM ENDOCRINOLOGIA PEDIÁTRICA;193;DEPARTAMENTO DE PEDIATRIA
90723724;APERFEIÇOAMENTO EM ENDOCRINOLOGIA PEDIÁTRICA;193;DEPARTAMENTO DE PEDIATRIA
135860936;APERFEIÇOAMENTO EM ENSINO DE PORTUGUÊS PARA ESTRANGEIROS, IMIGRANTES E REFUGIADOS;5206;DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS
124880396;APERFEIÇOAMENTO EM FORMAÇÃO PEDAGÓGICA TUTORES E PRECEPTORES DA RESIDÊNCIA EM SAÚDE;197;DEPARTAMENTO DE TOCO-GINECOLOGIA
124895528;APERFEIÇOAMENTO EM GESTÃO DE POLÍTICA DE DST AIDS HEPATITES VIRAIS E TUBERCULOSE;409;NÚCLEO DE ESTUDOS EM SAÚDE COLETIVA
138941430;APERFEIÇOAMENTO EM GESTÃO DO TRABALHO E DA EDUCAÇÃO NA SAÚDE;202;DEPARTAMENTO DE SAÚDE COLETIVA
130027665;APERFEIÇOAMENTO EM LINGUAGEM TEATRAL: TEATRO DE ANIMAÇÃO NA EDUCAÇÃO DA INFÂNCIA;1452;NÚCLEO DE EDUCAÇÃO DA INFÂNCIA
135650946;APERFEIÇOAMENTO EM LITERATURA INFANTIL NEGRA NA ESCOLA;363;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
178449005;APERFEIÇOAMENTO EM MENTORIA DE DIRETORES ESCOLARES;5967;DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO
92843489;APERFEIÇOAMENTO EM PLANEJAMENTO, CRIAÇÃO E MANUTENÇÃO DE REPOSITÓRIOS DIGITAIS;63;DEPARTAMENTO DE CIÊNCIA DA INFORMAÇÃO
98641137;APERFEIÇOAMENTO EM PRÓTESE SOBRE IMPLANTES;195;DEPARTAMENTO DE ODONTOLOGIA
124922102;APERFEIÇOAMENTO EM REABILITAÇÃO ORAL AVANÇADA EM PRÓTESE SOBRE IMPLANTE;195;DEPARTAMENTO DE ODONTOLOGIA
117438135;APERFEIÇOAMENTO EM SAÚDE DA FAMÍLIA;7278;ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE
171908775;APERFEIÇOAMENTO PARA PROFISSIONAIS DO SISTEMA SOCIOEDUCATIVO DA CIDADE DE NATAL/RN;143;DEPARTAMENTO DE PSICOLOGIA
174575192;APERFEIÇOAMENTO PARA PROFISSIONAIS DO SISTEMA SOCIOEDUCATIVO DAS CIDADES DE CAICÓ/RN E MOSSORÓ/RN;143;DEPARTAMENTO DE PSICOLOGIA
184446888;ARQUEOLOGIA;1482;CENTRO DE  ENSINO SUPERIOR DO SERIDÓ
2000005;ARQUITETURA E URBANISMO;445;CENTRO DE TECNOLOGIA
2000123;ARTES VISUAIS;442;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES
180582342;ATENDIMENTO EDUCACIONAL ESPECIALIZADO: A AUTORREGULAÇÃO POR ESTUDANTES COM DEFICIÊNCIA INTELECTUAL;30546;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO ESPECIAL
99413191;ATENDIMENTO EDUCACIONAL ESPECIALIZADO NA PERSPECTIVA DA EDUCAÇÃO INCLUSIVA;363;PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO
126946116;AUDITORIA EM SAÚDE;205;ESCOLA DE SAÚDE
183034505;AUXILIAR DE AGROECOLOGIA - EJA EPT - CANGUARETAMA;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
174832421;AUXILIAR DE AGROECOLOGIA - EJA EPT - LAGOA DE PEDRAS;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
174825967;AUXILIAR DE COZINHA - EJA EPT - LAGOA DE PEDRAS;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
183448090;AUXILIAR DE COZINHA - EJA EPT - PARNAMIRIM;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
181676364;AUXILIAR DE COZINHA - EJA EPT - TIBAU DO SUL;351;ESCOLA AGRÍCOLA DE JUNDIAÍ
97605099;AVALIAÇÃO E INTERVENÇÃO FISIOTERAPÊUTICA NA ÁREA MATERNO INFANTIL;201;DEPARTAMENTO DE FISIOTERAPIA
9291230;Avaliação psicológica da personalidade;143;DEPARTAMENTO DE PSICOLOGIA
178733979;BACHARELADO EM INTELIGÊNCIA ARTIFICIAL;6069;INSTITUTO METROPOLE DIGITAL
149717829;BACHARELADO INTERDISCIPLINAR EM HUMANIDADES;30304;INSTITUTO HUMANITAS DE ESTUDOS INTEGRADOS
95739909;BASES FISIOLÓGICAS PARA AVALIAÇÃO E PRESCRIÇÃO DE EXERCÍCIOS FÍSICOS;199;DEPARTAMENTO DE EDUCAÇÃO FÍSICA
2000006;BIBLIOTECONOMIA;443;CENTRO DE CIÊNCIAS SOCIAIS APLICADAS
100097561;BIOLOGIA MOLECULAR - DIAGNOSTICO MOLECULAR DE DOENCAS HUMANAS;366;PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS FARMACÊUTICAS
2000122;BIOMEDICINA;440;CENTRO DE BIOCIÊNCIAS
2000013;CIÊNCIA DA COMPUTAÇÃO;439;CENTRO DE CIÊNCIAS EXATAS E DA TERRA
6633741;CIÊNCIAS ATUARIAIS;439;CENTRO DE CIÊNCIAS EXATAS E DA TERRA
2000009;CIÊNCIAS BIOLÓGICAS;440;CENTRO DE BIOCIÊNCIAS
9295710;CIÊNCIAS BIOLÓGICAS;440;CENTRO DE BIOCIÊNCIAS
