"id_unidade";"codigo";"nome_unidade";"sigla";"email";"telefones";"municipio";"id_unidade_gestora";"unidade_gestora";"id_unidade_responsavel";"unidade_responsavel";"hierarquia";"data_criacao";"data_extincao";"classificacao_unidade";"nivel_organizacional";"ambiente_organizacional_unidade";"tipo_unidade_organizacional";"area_atuacao_unidade"
"3810";"21240301";"ABASTECIMENTO FARMACEUTICO";"AF/HUOL";"";"";"NATAL";"446";"HOSPITAL UNIVERSITARIO ONOFRE LOPES";"3806";"HUOL - SETOR DE FARMACIA";".605.446.416.1677.3806.3810.";"24/06/1974";"";"ADMINISTRATIVA";"OPERACIONAL";"CIÊNCIAS DA SAÚDE                                 ";"SETOR                                                       ";"FIM"
"8772";"11322903";"ADMINISTRACAO DA ESCOLA MULTICAMPI DE CIENCIAS MEDICAS DO RN";"ADMIN/EMCM-RN";"";"";"CAICÓ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"7278";"ESCOLA MULTICAMPI DE CIENCIAS MEDICAS DO RIO GRANDE DO NORTE";".605.262.7278.8772.";"01/01/2013";"";"ADMINISTRATIVA";"ESTRATÉGICO";"ADMINISTRATIVO                                    ";"ASSESSORIA                                                  ";"FIM"
"61";"1804";"ADMINISTRACAO DO CERES - CAICO";"CERES/CAICO";"";"";"CAICÓ";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDO";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDO";".1482.61.";"24/06/1974";"";"ADMINISTRATIVA";"ESTRATÉGICO";"ADMINISTRATIVO                                    ";"SETOR                                                       ";"MEIO"
"62";"1806";"ADMINISTRACAO DO CERES - CURRAIS NOVOS";"CERES/CN";"";"";"CURRAIS NOVOS";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDO";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDO";".1482.62.";"01/01/2007";"";"ADMINISTRATIVA";"ESTRATÉGICO";"ADMINISTRATIVO                                    ";"SETOR                                                       ";"MEIO"
"2877";"160147";"ADMINISTRACAO DO NEPSA I - CCSA";"NEPSA-I/ADM";"";"";"NATAL";"443";"CENTRO DE CIENCIAS SOCIAIS APLICADAS";"156";"DIRECAO DO CCSA";".443.156.2877.";"24/06/1974";"";"ADMINISTRATIVA";"OPERACIONAL";"CIÊNCIAS HUMANAS, JURÍDICAS E ECONÔMICAS          ";"NÚCLEO                                                      ";"FIM"
"8349";"160035";"ADMINISTRACAO DO NEPSA II - CCSA";"NEPSA-2/ADM";"";"";"NATAL";"443";"CENTRO DE CIENCIAS SOCIAIS APLICADAS";"443";"CENTRO DE CIENCIAS SOCIAIS APLICADAS";".443.8349.";"06/03/2014";"";"ADMINISTRATIVA";"GERENCIAL";"ADMINISTRATIVO                                    ";"SETOR                                                       ";"FIM"
"3973";"112105";"ADMINISTRACAO REGIONAL DE SANTO ANTONIO";"ADMRST";"";"";"MACAU";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"3425";"COORDENACAO REGIONAL";".605.1450.3418.3425.3973.";"24/06/1974";"";"ADMINISTRATIVA";"OPERACIONAL";"ADMINISTRATIVO                                    ";"DEPARTAMENTO                                                ";"FIM"
"4524";"112412";"AGENCIA DE INOVACAO - AGIR";"AGIR/UFRN";"";"";"NATAL";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"4659";"REITORIA";".605.4659.4524.";"24/06/1974";"";"ÓRGÃO SUPLEMENTAR";"OPERACIONAL";"ADMINISTRATIVO                                    ";"AGÊNCIA                                                     ";"FIM"
"89";"1402";"ALMOXARIFADO";"ALMOX/CT";"";"3215.3709";"NATAL";"445";"CENTRO DE TECNOLOGIA";"445";"CENTRO DE TECNOLOGIA";".445.89.";"24/06/1974";"";"ADMINISTRATIVA";"OPERACIONAL";"ADMINISTRATIVO                                    ";"SETOR                                                       ";"MEIO"
"4381";"11210204";"ALMOXARIFADO/CAMPUS DE MACAU";"ACM";"";"";"MACAU";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"3430";"NUCLEO DE MACAU";".605.1450.3418.3425.3430.4381.";"24/06/1974";"";"ADMINISTRATIVA";"OPERACIONAL";"ADMINISTRATIVO                                    ";"SETOR                                                       ";"FIM"
